eleccion,odpe,nombre_odpe,mesas_procesadas,mesas_contabilizadas,mesas_al_jee,electores_procesados,electores_contabilizados,electores_al_jee,mesas_totales,electores_totales,departameto,pct_mesas,pct_mesas_contabilizadas,pct_mesas_al_jee,pct_electores,pct_electores_contabilizados,electores_por_contabilizar,pct_electores_por_contabilizar
Presidencial segunda vuelta,LIMA CENTRO 1,LIMA CENTRO 1,2006,1891,115,951285,894838,56447,2543,1210813,LIMA,0.7888320880849391,0.743609909555643,0.04522217852929611,0.7856580661093001,0.7390389762911366,315975,0.26096102370886337
Presidencial segunda vuelta,LIMA CENTRO 2,LIMA CENTRO 2,431,413,18,126864,121653,5211,431,126864,LIMA,1,0.9582366589327146,0.04176334106728538,1,0.9589245175936436,5211,0.04107548240635641
Presidencial segunda vuelta,LIMA CENTRO 3,LIMA CENTRO 3,1030,995,35,303347,293130,10217,1030,303347,LIMA,1,0.9660194174757282,0.03398058252427184,1,0.9663190999086855,10217,0.03368090009131457
Presidencial segunda vuelta,LIMA ESTE 1,LIMA ESTE 1,1650,1466,184,488948,434546,54402,1650,488948,LIMA,1,0.8884848484848484,0.11151515151515151,1,0.8887366345705474,54402,0.11126336542945262
Presidencial segunda vuelta,LIMA ESTE 2,LIMA ESTE 2,572,552,20,168751,162891,5860,572,168751,LIMA,1,0.965034965034965,0.03496503496503497,1,0.9652742798561194,5860,0.03472572014388063
Presidencial segunda vuelta,LIMA NORTE 1,LIMA NORTE 1,1120,1100,20,330836,324907,5929,1120,330836,LIMA,1,0.9821428571428571,0.017857142857142856,1,0.9820787338741854,5929,0.017921266125814603
Presidencial segunda vuelta,LIMA NORTE 2,LIMA NORTE 2,1493,1456,37,446127,435064,11063,1493,446127,LIMA,1,0.9752176825184193,0.02478231748158071,1,0.9752021285418726,11063,0.024797871458127393
Presidencial segunda vuelta,LIMA NORTE 3,LIMA NORTE 3,567,553,14,167036,162839,4197,567,167036,LIMA,1,0.9753086419753086,0.024691358024691357,1,0.9748736799252856,4197,0.025126320074714433
Presidencial segunda vuelta,LIMA OESTE 1,LIMA OESTE 1,830,797,33,246305,236461,9844,830,246305,LIMA,1,0.9602409638554217,0.03975903614457831,1,0.9600332920565965,9844,0.039966707943403505
Presidencial segunda vuelta,LIMA OESTE 2,LIMA OESTE 2,817,796,21,242775,236526,6249,817,242775,LIMA,1,0.9742962056303549,0.025703794369645042,1,0.9742601173926475,6249,0.025739882607352486
Presidencial segunda vuelta,LIMA OESTE 3,LIMA OESTE 3,1184,1130,54,350131,334379,15752,1184,350131,LIMA,1,0.9543918918918919,0.04560810810810811,1,0.9550111244077217,15752,0.04498887559227832
Presidencial segunda vuelta,LIMA SUR 1,LIMA SUR 1,796,786,10,234336,231405,2931,796,234336,LIMA,1,0.9874371859296482,0.01256281407035176,1,0.9874923187218353,2931,0.012507681278164687
Presidencial segunda vuelta,LIMA SUR 2,LIMA SUR 2,1241,1206,35,367015,356560,10455,1241,367015,LIMA,1,0.9717969379532635,0.028203062046736505,1,0.9715134258817759,10455,0.02848657411822405
Presidencial segunda vuelta,LOS OLIVOS,LOS OLIVOS,983,969,14,293753,289572,4181,983,293753,LIMA,1,0.9857578840284842,0.014242115971515769,1,0.9857669538694073,4181,0.01423304613059271
Presidencial segunda vuelta,LURIGANCHO,LURIGANCHO,635,629,6,186860,185106,1754,687,202251,LIMA,0.9243085880640466,0.9155749636098981,0.008733624454148471,0.9239014887441842,0.9152290965186822,17145,0.08477090348131777
Presidencial segunda vuelta,PUEBLO LIBRE,PUEBLO LIBRE,337,325,12,99308,95859,3449,337,99308,LIMA,1,0.9643916913946587,0.03560830860534125,1,0.9652696660893382,3449,0.03473033391066178
Presidencial segunda vuelta,SAN BORJA,SAN BORJA,420,403,17,125545,120463,5082,420,125545,LIMA,1,0.9595238095238096,0.04047619047619048,1,0.9595204906607193,5082,0.04047950933928074
Presidencial segunda vuelta,SAN JUAN DE LURIGANCHO,SAN JUAN DE LURIGANCHO,2744,2668,76,812692,790249,22443,2744,812692,LIMA,1,0.9723032069970845,0.027696793002915453,1,0.9723843719391848,22443,0.02761562806081517
Presidencial segunda vuelta,SAN JUAN DE MIRAFLORES,SAN JUAN DE MIRAFLORES,1115,1071,44,333092,319936,13156,1115,333092,LIMA,1,0.9605381165919282,0.039461883408071746,1,0.9605034044648325,13156,0.03949659553516746
Presidencial segunda vuelta,SAN MARTIN DE PORRES,SAN MARTIN DE PORRES,1798,1750,48,531448,517264,14184,1798,531448,LIMA,1,0.9733036707452726,0.026696329254727477,1,0.9733106531589167,14184,0.02668934684108323
Presidencial segunda vuelta,SAN MIGUEL,SAN MIGUEL,504,486,18,150653,145272,5381,504,150653,LIMA,1,0.9642857142857143,0.03571428571428571,1,0.9642821583373713,5381,0.03571784166262869
