ambito,region,odpe,actas_pendientes,electores_pendientes,validos_proyectados,fp_proyectados,jp_proyectados,margen_proyectado_fp
PERU,LORETO,MARISCAL RAMON CASTILLA,2,591,172.24605522068117,115.07624381698116,57.16981140369999,57.90643241328117
PERU,TUMBES,TUMBES,2,590,409.64184799653617,305.83796218165185,103.8038858148843,202.03407636676755
PERU,HUANUCO,YAROWILCA,2,589,279.03494344448455,40.26206979191246,238.7728736525721,-198.51080386065962
PERU,AREQUIPA,AREQUIPA,2,575,442.8313466001048,164.54400979930767,278.2873368007971,-113.74332700148943
PERU,APURIMAC,GRAU,2,569,315.44275768196064,40.06040211121162,275.382355570749,-235.32195345953735
PERU,CUSCO,ESPINAR,2,558,381.21265786527135,43.806523263739514,337.4061346015319,-293.5996113377924
PERU,AREQUIPA,CONDESUYOS,2,512,287.4355726975586,66.99961686775649,220.4359558298021,-153.43633896204562
PERU,PUNO,CHUCUITO,2,469,337.2607326801808,45.28898262733497,291.97175005284583,-246.68276742551086
EXTRANJERO,OCEANIA,LIMA CENTRO 1,1,467,124.88209313393192,78.80917320315801,46.07291993077391,32.736253272384104
PERU,AMAZONAS,CHACHAPOYAS,2,464,253.5310566528742,99.3677625705784,154.1632940822958,-54.7955315117174
PERU,LORETO,UCAYALI,1,300,154.81739792717337,81.64598978528628,73.1714081418871,8.474581643399176
PERU,PUNO,AZANGARO,1,300,234.91373950918552,14.771353371068129,220.1423861381174,-205.37103276704926
PERU,MOQUEGUA,MARISCAL NIETO,1,300,227.1982962732789,59.929019970875444,167.26927630240345,-107.34025633152801
PERU,HUANCAVELICA,HUAYTARA,1,299,153.30448591146984,45.32950030138436,107.97498561008548,-62.645485308701126
PERU,LA LIBERTAD,SANCHEZ CARRION,1,297,173.75826699852323,88.06299651281081,85.69527048571241,2.3677260270983993
PERU,ANCASH,HUAYLAS,1,296,203.21973942644135,77.02562380625788,126.19411562018347,-49.168491813925584
